event,gasUsed,blockNumber,timestamp,instanceID,sender,receiver,executionCount,price
"ConfirmOrder","36537","160","2024-11-06T11:27:51.496Z","3","retailer1","customer2",41,""
"RestockRequest","78597","160","2024-11-06T11:27:51.496Z","1","retailer1","manufacturer1",43,"100"
"ConfirmOrder","36537","160","2024-11-06T11:27:51.496Z","4","retailer2","customer2",42,""
"ConfirmRestock","29235","162","2024-11-06T11:27:53.499Z","1","manufacturer1","retailer1",43,""
"CancelOrder","30309","162","2024-11-06T11:27:53.499Z","2","customer1","retailer2",44,""
"PurchaseOrder","33805","168","2024-11-06T11:27:59.017Z","2","customer1","retailer2",45,""
"PurchaseOrder","45484","168","2024-11-06T11:27:59.017Z","4","customer2","retailer2",47,""
"PurchaseOrder","33805","168","2024-11-06T11:27:59.017Z","3","customer2","retailer1",46,""
"PurchaseOrder","45484","170","2024-11-06T11:28:01.019Z","1","customer1","retailer1",48,""
"RestockRequest","92434","170","2024-11-06T11:28:01.019Z","4","retailer2","manufacturer1",47,"120"
"ConfirmOrder","36537","170","2024-11-06T11:28:01.019Z","3","retailer1","customer2",46,""
"ConfirmOrder","36537","170","2024-11-06T11:28:01.019Z","2","retailer2","customer1",45,""
"RestockRequest","78597","172","2024-11-06T11:28:03.023Z","1","retailer1","manufacturer1",48,"100"
"ConfirmRestock","29235","172","2024-11-06T11:28:03.023Z","4","manufacturer1","retailer2",47,""
"ConfirmRestock","29235","174","2024-11-06T11:28:05.029Z","1","manufacturer1","retailer1",48,""
"PurchaseOrder","33805","180","2024-11-06T11:28:11.046Z","4","customer2","retailer2",49,""
"PurchaseOrder","33805","180","2024-11-06T11:28:11.046Z","3","customer2","retailer1",50,""
"PurchaseOrder","45484","180","2024-11-06T11:28:11.046Z","1","customer1","retailer1",51,""
"PurchaseOrder","45484","180","2024-11-06T11:28:11.046Z","2","customer1","retailer2",52,""
"ConfirmOrder","36537","182","2024-11-06T11:28:13.056Z","3","retailer1","customer2",50,""
"ConfirmOrder","36537","182","2024-11-06T11:28:13.056Z","4","retailer2","customer2",49,""
"RestockRequest","78597","182","2024-11-06T11:28:13.057Z","1","retailer1","manufacturer1",51,"100"
